raw.41_Ctrl_60_MB_02	raw.43_Ctrl_60_MUB_02	raw.45_Ctrl_60_cyt_02	raw.47_Ctrl_60_cytUB_02	raw.13_Ctrl_5_cyt_02	raw.14_Ctrl_5_MB_02	raw.01_Ctrl_5_cyt_01	raw.02_Ctrl_5_MB_01	raw.05_Ctrl_15_cyt_01	raw.06_Ctrl_15_MB_01	raw.17_Ctrl_5_cyt_03	raw.18_Ctrl_5_MB_03	raw.21_Ctrl_15_cyt_02	raw.22_Ctrl_15_MB_02	raw.25_Ctrl_15_cyt_03	raw.26_Ctrl_15_MB_03	raw.29_Ctrl_60_cyt_03	raw.30_Ctrl_60_MB_03	raw.33_Ctrl_60_cytUB_01	raw.35_Ctrl_60_MUB_01	raw.37_Ctrl_60_cyt_01	raw.39_Ctrl_60_MB_01
chr19_53844971_53844980_+	4	1	27	1	67	16	50	12	72	18	67	19	84	30	94	44	80	30	0	0	15	6
chr11_63814441_63814541_+	11	1	69	18	46	9	43	15	74	18	71	16	68	25	73	16	59	12	0	0	49	17
chr5_30455643_30455649_+	3	2	9	1	641	139	555	133	687	146	739	159	739	204	828	243	744	189	1	0	323	67
chr4_87255911_87256011_+	6	2	37	7	201	32	182	21	192	42	278	54	253	69	325	70	265	53	0	0	63	11
chr5_30470441_30470467_+	9	2	74	18	131	30	115	30	157	48	95	13	124	38	163	43	116	34	6	1	82	18
chr4_143858432_143858503_+	23	11	89	20	123	67	56	52	141	91	112	60	177	143	165	92	124	75	3	2	99	45
chr6_132783334_132783406_+	12	7	74	15	93	27	69	37	93	59	92	48	112	41	129	69	102	54	1	0	60	17
chr1_207318189_207318190_+	13	5	40	11	65	25	45	28	78	34	88	28	74	38	89	41	84	36	1	1	50	17
chr16_19620292_19620380_-	5	3	42	2	48	37	30	30	58	34	41	27	67	46	54	53	48	27	0	0	20	17
chr17_10808950_10808968_+	7	5	40	1	130	43	99	41	179	50	167	56	191	61	178	59	155	44	0	0	78	17
chr4_143888472_143888559_+	13	4	32	12	30	26	18	18	46	45	24	24	47	66	45	48	19	25	0	0	47	29
chr5_30475765_30475776_+	5	0	22	5	41	5	32	17	51	18	40	12	42	18	53	32	37	12	2	1	38	11
chr7_55495118_55495207_+	14	4	24	7	35	42	19	33	34	54	27	41	39	55	44	57	35	37	2	1	31	24
chr1_201557961_201558039_+	9	2	58	18	122	25	70	19	105	26	147	19	112	18	160	34	152	31	1	0	56	8
chr1_41870307_41870335_-	2	2	6	0	202	59	166	54	204	73	258	94	237	88	247	104	236	77	2	0	104	26
chr3_76314086_76314168_-	10	4	26	4	34	29	11	29	41	35	29	42	47	50	35	39	18	21	2	1	27	22
